wikidata_id,name,latitude,longitude,postal_code
Q270704,Třebíč,49.2149674,15.881675935,674 01
Q320939,Mělník,50.350570679,14.474193495,276 01
Q320939,Mělník,50.350570679,14.474193495,277 41
Q320950,Trutnov,50.561045737,15.912798547,541 01
Q320950,Trutnov,50.561045737,15.912798547,541 02
Q320950,Trutnov,50.561045737,15.912798547,541 03
Q320950,Trutnov,50.561045737,15.912798547,542 32
Q321778,Hodonín,48.848950584,17.132439069,695 01
Q327764,Prachatice,49.013013368,13.997533003,383 01
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 01
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 03
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 04
Q330409,Ústí nad Orlicí,49.973904297,16.393670305,562 06
Q368929,Jindřichův Hradec,49.144110393,15.003024549,377 01
Q384403,Litoměřice,50.533559476,14.131899491,412 01
Q384544,Karlovy Vary,50.230555555,12.8725,360 01–364 64
Q392692,Šumperk,49.965299915,16.970665435,787 01
Q394453,Žďár nad Sázavou,49.562675487,15.939278339,591 01
Q394453,Žďár nad Sázavou,49.562675487,15.939278339,591 02
Q430864,Nymburk,50.186115487,15.041747256,288 02
Q430864,Nymburk,50.186115487,15.041747256,289 13
Q470369,Kolín,50.02819399,15.200633745,280 02
Q470380,Přerov,49.455555555,17.451111111,750 02
Q470380,Přerov,49.455555555,17.451111111,751 24
Q470380,Přerov,49.455555555,17.451111111,750 00
Q470380,Přerov,49.455555555,17.451111111,751 27
Q470394,Benešov,49.781695568,14.687020558,256 01
Q470445,Prostějov,49.472222222,17.110555555,796 01
Q470445,Prostějov,49.472222222,17.110555555,798 11
Q470445,Prostějov,49.472222222,17.110555555,796 04
Q470445,Prostějov,49.472222222,17.110555555,796 03
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 01
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 06
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 05
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 09
Q513417,Vsetín,49.338702987,17.996209032,755 01
Q470380,Přerov,49.455555555,17.451111111,750 02
Q470380,Přerov,49.455555555,17.451111111,751 24
Q470380,Přerov,49.455555555,17.451111111,750 00
Q470380,Přerov,49.455555555,17.451111111,751 27
Q470394,Benešov,49.781695568,14.687020558,256 01
Q470445,Prostějov,49.472222222,17.110555555,796 01
Q470445,Prostějov,49.472222222,17.110555555,798 11
Q470445,Prostějov,49.472222222,17.110555555,796 04
Q470445,Prostějov,49.472222222,17.110555555,796 03
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 01
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 06
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 05
Q502993,Uherské Hradiště,49.069757549,17.459691353,686 09
Q615138,Soběslav,49.260006346,14.718638675,392 01
Q616877,Louny,50.357078457,13.796762432,440 01
Q630358,Sedlčany,49.660649523,14.426685295,264 01
Q638306,Hranice,49.547963974,17.734723291,753 01
Q638306,Hranice,49.547963974,17.734723291,753 54
Q638306,Hranice,49.547963974,17.734723291,753 61
Q638306,Hranice,49.547963974,17.734723291,753 00
Q740863,Česká Lípa,50.685584291,14.537747102,470 01
Q740863,Česká Lípa,50.685584291,14.537747102,470 06
Q740863,Česká Lípa,50.685584291,14.537747102,471 21
Q740863,Česká Lípa,50.685584291,14.537747102,471 11
Q746111,Pacov,49.470826885,15.001713769,395 01
Q750224,Strakonice,49.261497897,13.902396874,386 01
Q755698,Svitavy,49.755965917,16.468338539,568 02
Q761439,Moravský Krumlov,49.048965931,16.311702605,672 01
Q761439,Moravský Krumlov,49.048965931,16.311702605,671 75
Q761439,Moravský Krumlov,49.048965931,16.311702605,672 11
Q815541,Týn nad Vltavou,49.223475602,14.420589996,375 01
Q827041,Beroun,49.963908175,14.072061165,266 01
Q841296,Příbram,49.68996461,14.010474512,261 01
Q841296,Příbram,49.68996461,14.010474512,262 31
Q841296,Příbram,49.68996461,14.010474512,262 41
Q842929,Nepomuk,49.486259587,13.582292906,335 01
Q842929,Nepomuk,49.486259587,13.582292906,335 03
Q849439,Kopřivnice,49.599461028,18.144833283,742 21
Q850676,Blansko,49.363160582,16.643174766,678 01
Q850676,Blansko,49.363160582,16.643174766,679 02
Q850676,Blansko,49.363160582,16.643174766,679 03
Q851419,Turnov,50.587341607,15.156899388,511 01
Q927541,Hořice,50.36613674,15.631918228,508 01
Q933480,Luhačovice,49.099822634,17.757479338,763 26
Q933480,Luhačovice,49.099822634,17.757479338,763 41
Q941061,Bystřice pod Hostýnem,49.399238981,17.674035465,768 61
Q941061,Bystřice pod Hostýnem,49.399238981,17.674035465,768 41
Q954569,Vyškov,49.277487239,16.998993221,682 01
Q954596,Havlíčkův Brod,49.607899638,15.580727658,580 01
Q954611,Jeseník,50.229379845,17.204714793,790 01
Q954808,Kaplice,48.738564836,14.496272135,382 41
Q954808,Kaplice,48.738564836,14.496272135,382 32
Q961325,Holešov,49.333314366,17.578340885,769 01
Q978707,Hořovice,49.836060857,13.902738643,268 01
Q985465,Rakovník,50.103792787,13.733472751,269 01
Q985465,Rakovník,50.103792787,13.733472751,270 36
Q986068,Domažlice,49.44060568,12.929798039,344 01
Q986070,Chrudim,49.951136279,15.79563579,538 21
Q986070,Chrudim,49.951136279,15.79563579,537 01
Q986070,Chrudim,49.951136279,15.79563579,538 31
Q986070,Chrudim,49.951136279,15.79563579,537 03
Q986070,Chrudim,49.951136279,15.79563579,537 05
Q986072,Rokycany,49.742793661,13.594638741,337 01
Q986075,Nové Město na Moravě,49.561481877,16.074220542,592 31
Q986077,Frýdlant,50.921451823,15.079858729,464 01
Q986077,Frýdlant,50.921451823,15.079858729,463 31
Q986082,Litvínov,50.600779793,13.611212988,436 01
Q986082,Litvínov,50.600779793,13.611212988,435 42
Q986082,Litvínov,50.600779793,13.611212988,436 03
Q986102,Třinec,49.677609314,18.670814768,739 55
Q986102,Třinec,49.677609314,18.670814768,739 61
Q986102,Třinec,49.677609314,18.670814768,739 94
Q987487,Ostrov,50.306035004,12.939153516,363 01
Q987487,Ostrov,50.306035004,12.939153516,362 51
Q987496,Kralupy nad Vltavou,50.241148972,14.311574668,278 01
Q990988,Broumov,50.585690135,16.331904763,550 01
Q994280,Bruntál,49.988449251,17.464759014,792 01
Q999916,Vysoké Mýto,49.953240035,16.161752006,566 01
Q999961,Jaroměř,50.356235289,15.921447438,551 01
Q999961,Jaroměř,50.356235289,15.921447438,551 02
